Land.Use.and.Land.Cover.Change	Anthropogenic.biomes.of.the.world	Clinical.Antibiotic.Usage	Pesticide	Energy.Extraction.and.Production	Agricultural.Crops	Forage.Crops	Mining.and.sewage.treatment	Hydraulic.Engineering	Veterinary.Antibiotics	Global.coal.mining.industry	GDP	PM2.5	HH.ARG
-1.03939030637997e-02	 6.24958810153309e-02	-1.59932735330515e-02	-9.13269594132494e-04	 3.60932084543133e-02	-2.10057684600609e-02	 1.23977806477209e-02	-2.69045146252648e-02	 9.76595339297664e-03	-1.64109257638376e-02	 3.20181254152708e-02	-3.29498800517081e-02	 1.16159669614947e-02	7.208204293e+05
 2.22850439775741e-02	-3.44880265947267e-02	-4.00964608033811e-02	-8.90062806469362e-03	 5.85865464649011e-04	 7.92158955905409e-03	 2.22687211255942e-03	 1.46765318481492e-02	 1.08547443512859e-02	-2.09249774346570e-02	 1.49036187138438e-02	 3.49380295821828e-03	-1.99308230069774e-02	7.550034035e+05
 2.22374516225075e-02	-3.41162318784896e-02	-4.05110646089056e-02	-8.54933458212598e-03	 3.34581383946323e-04	 8.19920569744568e-03	 2.05763011222364e-03	 1.53888371489834e-02	 9.37665723792274e-03	-1.77087693389312e-02	 1.41059559671684e-02	 2.01648921366697e-03	-2.03453495412567e-02	6.728359309e+05
 1.11085869763712e-02	-6.08257362509736e-02	-4.44554163268913e-02	-8.81298421177014e-03	 2.66779037468661e-02	 8.21526958264225e-04	 9.27068400075183e-03	-1.27857911070588e-02	-2.35547983262445e-02	-3.04913219039398e-03	-2.33598519325256e-03	-8.76685467082551e-03	 1.74116653447209e-02	6.486979834e+05
 1.12401717206892e-02	-6.18536852273616e-02	-4.33091075202234e-02	-9.78425077379121e-03	 2.73726613705228e-02	 5.39656863431879e-05	 9.73860926544544e-03	-1.47551937717301e-02	-1.94681395631193e-02	-1.19413990125606e-02	-1.30583749556697e-04	-4.68233414055815e-03	 1.85577605095759e-02	8.758770305e+05
-1.64579527587823e-02	 2.40635969800290e-02	-1.50531568780131e-02	 1.22293591755651e-02	-1.93246811408556e-02	-2.07369698633969e-02	-3.99374224800144e-03	-1.52713471444683e-02	-3.14185765372758e-03	-3.12349016401891e-03	 5.59620106632385e-03	-2.92718679946051e-02	 7.29104948519884e-03	5.349946809e+05
-3.82526707631724e-02	-1.10159744995622e-02	 2.35015932857602e-02	-1.07159907908790e-02	-4.63476429854734e-03	 1.52908488704298e-02	-5.01304275499464e-04	 2.03329377121148e-03	 4.43622554494085e-03	 2.65134223281332e-03	-4.96816231473986e-03	-1.14551716537166e-03	-1.04959488447899e-03	6.030451780e+05
-3.80764391866851e-02	-1.23927075668817e-02	 2.50368457892886e-02	-1.20168090453168e-02	-3.70427473512436e-03	 1.42628533098324e-02	 1.25388488183831e-04	-6.04329139652191e-04	 9.90949161483321e-03	-9.25807940066254e-03	-2.01446600880188e-03	 4.32488516716728e-03	 4.85371488361003e-04	9.073062975e+05
-1.28227042899135e-02	 5.70103254293571e-02	-1.38687608653451e-02	 4.28653522400441e-02	 6.28010741227572e-02	-2.22639548861495e-02	 9.84600694430801e-03	 1.25157321324215e-02	-1.15680679625642e-02	-1.12058071346627e-02	 3.55344108057768e-02	 1.94968126814145e-03	-4.19920831448807e-03	7.111188992e+05
-1.27507217440543e-02	 5.64479928830023e-02	-1.32416803730549e-02	 4.23340274257232e-02	 6.31811365894596e-02	-2.26838440970318e-02	 1.01019823007148e-02	 1.14383837030140e-02	-9.33248888117171e-03	-1.60702616551066e-02	 3.67408607736789e-02	 4.18409064368735e-03	-3.57224469350888e-03	8.353956629e+05
