location	1990-1	2019-1	change absolute number(%)	1990-2	2019-2	EAPC_ASIR
Madagascar	19.93 [16.92-23.32]	41.71 [35.34-49.17]	109.282488710487	15.94 [14.04-17.94]	15.71 [13.73-17.77]	-0.05 [-0.08 to -0.02]
Kuwait	1.43 [1.18-1.71]	3.07 [2.59-3.59]	114.685314685315	8.3 [7.03-9.69]	8.35 [7.06-9.76]	0.04 [-0.02 to 0.1]
Republic of Korea	27.85 [22.93-33.49]	30.22 [26.26-34.4]	8.50987432675044	6.82 [5.6-8.17]	7.1 [5.87-8.41]	0.13 [0.06 to 0.2]
Sweden	8.46 [7.38-9.54]	11.46 [9.97-12.95]	35.4609929078014	9.58 [8.25-11.09]	11.15 [9.44-13.11]	0.83 [0.7 to 0.95]
Yemen	15.27 [12.37-18.53]	28.88 [23.93-34.47]	89.1290111329404	8.61 [7.33-10.03]	8.43 [7.17-9.75]	-0.07 [-0.12 to -0.02]
Trinidad and Tobago	1.93 [1.65-2.26]	1.38 [1.18-1.59]	-28.4974093264249	15.63 [13.57-18.03]	11.4 [9.58-13.37]	-1.41 [-1.59 to -1.23]
United States Virgin Islands	0.12 [0.1-0.15]	0.11 [0.09-0.12]	-8.33333333333333	11.71 [9.88-13.73]	11.35 [9.5-13.37]	-0.13 [-0.18 to -0.08]
Greenland	0.03 [0.02-0.03]	0.03 [0.03-0.04]	0	5.08 [4.41-5.68]	5.39 [4.65-6.1]	0.31 [0.24 to 0.38]
Peru	28.07 [24.02-32.72]	33.72 [29.29-38.97]	20.1282508015675	11.54 [10.07-13.16]	10.27 [8.9-11.87]	-0.59 [-0.71 to -0.47]
Andorra	0.03 [0.03-0.04]	0.06 [0.05-0.07]	100	6.99 [6.02-8.01]	6.84 [5.83-7.83]	-0.09 [-0.11 to -0.07]
Cambodia	16.27 [13.6-19.32]	18.97 [15.95-22.04]	16.5949600491702	13.22 [11.45-15.12]	11.66 [9.93-13.36]	-0.56 [-0.61 to -0.5]
Sierra Leone	6.66 [5.64-7.81]	14.29 [12.09-16.7]	114.564564564565	17.78 [15.42-20.25]	17.74 [15.44-20.08]	0 [-0.04 to 0.03]
Germany	103.95 [90.58-117.31]	115.4 [101.35-128.69]	11.014911014911	12.91 [11.16-14.83]	12.89 [11.14-14.77]	0.19 [0.13 to 0.26]
Croatia	4.17 [3.6-4.78]	3.83 [3.42-4.26]	-8.15347721822542	8.94 [7.66-10.36]	9.26 [8.13-10.55]	0.35 [0.28 to 0.43]
