"","from","to","pvalue","cor","weight","color"
"173","NK cells activated","T cells follicular helper",2.56149365967527e-08,0.124401644861154,7.59150671477162,"#FB9A99"
"176","Macrophages M1","T cells follicular helper",2.34149913456731e-21,0.210398161087024,20.6305059983998,"#FB9A99"
"177","Macrophages M2","T cells follicular helper",6.22260931813497e-15,-0.173573197248578,14.2060274650133,"#C6DBEF"
"180","Mast cells resting","T cells follicular helper",1.41178874450355e-06,-0.107848815234868,5.85023028484258,"#C6DBEF"
"184","Fibroblasts","T cells follicular helper",1.14488437177568e-14,-0.171878294998993,13.9412383729184,"#C6DBEF"
"218","NK cells resting","T cells gamma delta",1.40251447340321e-17,-0.18965805147167,16.8530926482987,"#C6DBEF"
"219","NK cells activated","T cells gamma delta",1.99576719064416e-06,-0.106304116249573,5.69989012122277,"#C6DBEF"
"220","Monocytes","T cells gamma delta",5.29620413410418e-06,-0.101829907395623,5.27603528402786,"#C6DBEF"
"221","Macrophages M0","T cells gamma delta",1.88398676609903e-18,-0.194652679451664,17.7249221521962,"#C6DBEF"
"222","Macrophages M1","T cells gamma delta",1.04840466263475e-05,0.0985859204625463,4.9794710562565,"#FB9A99"
"224","Dendritic cells resting","T cells gamma delta",4.86100841436852e-14,0.167788297616342,13.3132736271644,"#FB9A99"
"225","Dendritic cells activated","T cells gamma delta",7.23284015385958e-12,-0.152776732669175,11.1406911327273,"#C6DBEF"
"226","Mast cells resting","T cells gamma delta",6.85488234643162e-07,0.111006710330699,6.16399999481087,"#FB9A99"
"227","Mast cells activated","T cells gamma delta",2.77105924517524e-10,-0.140821597779542,9.55735418891368,"#C6DBEF"
"229","Neutrophils","T cells gamma delta",1.13316655737921e-09,-0.135922675695314,8.94570625109476,"#C6DBEF"
"242","NK cells activated","NK cells resting",8.39738714827751e-105,-0.459959133572247,104.075855823891,"#C6DBEF"
"244","Macrophages M0","NK cells resting",9.64135635241024e-07,0.109526616459499,6.01586186496326,"#FB9A99"
"249","Mast cells resting","NK cells resting",1.733724814476e-28,-0.244493601772439,27.7610198347945,"#C6DBEF"
"250","Mast cells activated","NK cells resting",6.54647611919928e-15,0.173432803021278,14.1839924120403,"#FB9A99"
"268","Macrophages M1","NK cells activated",2.26863230667988e-08,0.124869728420623,7.64423588759681,"#FB9A99"
"272","Mast cells resting","NK cells activated",9.03607779536869e-19,0.196447373363772,18.044020038713,"#FB9A99"
"273","Mast cells activated","NK cells activated",2.84876351255838e-10,-0.14072703087169,9.54534360181486,"#C6DBEF"
"290","Macrophages M0","Monocytes",5.49154325341317e-40,-0.290385268107921,39.2603055913863,"#C6DBEF"
"291","Macrophages M1","Monocytes",1.92707694731583e-09,-0.134029644640847,8.71510094381498,"#C6DBEF"
"293","Dendritic cells resting","Monocytes",7.3339529701861e-06,0.100295772026069,5.13466187932962,"#FB9A99"
"298","Neutrophils","Monocytes",8.88311718838301e-21,-0.207361583657343,20.0514346085279,"#C6DBEF"
"299","Fibroblasts","Monocytes",1.32542846764026e-10,0.143320510738541,9.87764370583915,"#FB9A99"
"315","Macrophages M2","Macrophages M0",5.26846780547865e-06,-0.101854475165763,5.27831566948895,"#C6DBEF"
"316","Dendritic cells resting","Macrophages M0",1.19467948762028e-20,-0.206680293007793,19.9227485929822,"#C6DBEF"
"318","Mast cells resting","Macrophages M0",9.56446094949119e-41,-0.293126032121391,40.01933950167,"#C6DBEF"
"321","Neutrophils","Macrophages M0",8.17420913713905e-14,0.166292942702416,13.0875542550581,"#FB9A99"
"322","Fibroblasts","Macrophages M0",1.04774159482578e-07,-0.118840047146152,6.97974581446971,"#C6DBEF"
"340","Dendritic cells activated","Macrophages M1",9.71203180147764e-37,-0.278300901395975,36.0126899041947,"#C6DBEF"
"342","Mast cells activated","Macrophages M1",6.66527093411731e-32,-0.259092186803604,31.1761821924166,"#C6DBEF"
"363","Dendritic cells activated","Macrophages M2",2.9797286344939e-10,-0.14057320009982,9.52582328555736,"#C6DBEF"
"364","Mast cells resting","Macrophages M2",2.26860494213912e-12,0.156386391068481,11.6442411261455,"#FB9A99"
"365","Mast cells activated","Macrophages M2",7.28308653813692e-16,-0.179405404709353,15.1376845296981,"#C6DBEF"
"368","Fibroblasts","Macrophages M2",5.14272006309826e-28,0.242397622452896,27.288807115259,"#FB9A99"
"386","Dendritic cells activated","Dendritic cells resting",1.20666377172127e-17,-0.190037049737649,16.9184137261149,"#C6DBEF"
"387","Mast cells resting","Dendritic cells resting",1.84791111129674e-15,0.176898492241649,14.7333189231602,"#FB9A99"
"390","Neutrophils","Dendritic cells resting",2.20813164631394e-06,-0.105848864585793,5.65597503802465,"#C6DBEF"
"410","Mast cells resting","Dendritic cells activated",6.56661470773859e-06,-0.100819074699584,5.18265846493853,"#C6DBEF"
"411","Mast cells activated","Dendritic cells activated",4.25896313287482e-09,0.131152260777434,8.37069611932008,"#FB9A99"
"413","Neutrophils","Dendritic cells activated",2.83264431308242e-09,0.132639651462444,8.54780795515254,"#FB9A99"
"434","Mast cells activated","Mast cells resting",3.19118724644664e-121,-0.490841316393638,120.496047712349,"#C6DBEF"
"436","Neutrophils","Mast cells resting",9.75350652373472e-12,-0.15183184581798,11.0108392212112,"#C6DBEF"
"437","Fibroblasts","Mast cells resting",1.47099098462676e-25,0.231154845298918,24.8323899889576,"#FB9A99"
"459","Neutrophils","Mast cells activated",5.96202008470498e-18,0.191803134495415,17.2246065652605,"#FB9A99"
