Gene Symbol	SPOT	Profile	0h	0.5h	3h	6h	12h
0 (SPOT_2662)	2662	43	0.00	0.31	1.54	1.43	0.54
0 (SPOT_2684)	2684	42	0.00	0.48	1.01	0.34	0.46
0 (SPOT_2686)	2686	42	0.00	0.96	1.37	0.45	0.86
0 (SPOT_2687)	2687	43	0.00	0.18	0.96	0.51	0.28
FLJ31951	2689	42	0.00	0.10	1.02	0.12	0.34
LOC65121	2694	42	0.00	0.49	1.03	0.37	0.46
0 (SPOT_2695)	2695	38	0.00	0.79	1.13	0.86	1.01
0 (SPOT_2700)	2700	40	0.00	0.55	1.68	0.39	0.26
0 (SPOT_2720)	2720	38	0.00	1.29	1.31	1.65	1.53
SOX4	2737;7043	14	0.00	-0.03	0.59	1.09	0.91
E2F1	2738;2853	19	0.00	0.21	-0.57	-0.91	-0.82
SLC11A3	2761;12560;17682;19484	10	0.00	-0.62	-1.04	-0.51	-0.41
0 (SPOT_2765)	2765	46	0.00	2.21	0.26	0.36	0.46
0 (SPOT_2786)	2786	43	0.00	0.66	1.16	1.13	0.94
HOXB13	2816;8212	42	0.00	0.40	1.14	0.65	0.81
0 (SPOT_2832)	2832	38	0.00	0.82	0.73	0.59	0.79
CDK7	2845;19180	9	0.00	-0.31	-0.47	-0.50	-1.02
FOS	2854;6307;24023	34	0.00	0.62	-0.50	1.05	0.00
MCM5	2856;14160;16303	9	0.00	0.09	-0.39	-0.64	-1.08
0 (SPOT_2878)	2878	42	0.00	0.66	0.93	0.43	0.67
0 (SPOT_2890)	2890	43	0.00	0.40	0.67	0.82	0.73
0 (SPOT_2901)	2901	40	0.00	0.35	0.84	0.18	0.14
0 (SPOT_2908)	2908	43	0.00	0.53	0.91	0.84	0.57
0 (SPOT_2910)	2910	37	0.00	0.08	-0.06	-0.37	-0.89
0 (SPOT_2920)	2920	47	0.00	0.72	1.15	0.36	0.45
0 (SPOT_2925)	2925	38	0.00	0.66	0.94	0.62	0.87
0 (SPOT_2945)	2945	42	0.00	0.85	1.78	1.04	1.14
0 (SPOT_2953)	2953	28	0.00	0.04	0.10	-0.02	0.85
CCKBR	2954	34	0.00	1.06	0.11	0.47	0.08
0 (SPOT_2960)	2960	46	0.00	0.94	0.29	0.44	0.24
0 (SPOT_2964)	2964	46	0.00	1.53	0.89	1.05	0.80
0 (SPOT_2984)	2984	46	0.00	1.32	0.76	0.51	0.58
0 (SPOT_2999)	2999	14	0.00	-0.35	-0.03	0.91	1.00
0 (SPOT_3007)	3007	29	0.00	0.31	0.46	0.97	0.07
0 (SPOT_3008)	3008	40	0.00	1.18	2.04	1.33	0.79
0 (SPOT_3009)	3009	15	0.00	-1.30	0.68	-0.73	-1.96
0 (SPOT_3011)	3011	43	0.00	0.27	1.37	1.28	0.68
0 (SPOT_3012)	3012	42	0.00	1.42	2.09	0.66	1.30
0 (SPOT_3025)	3025	41	0.00	0.62	0.32	0.71	1.16
KRT13	3026;19888	14	0.00	-0.17	0.42	1.36	0.90
IL2RG	3028	41	0.00	0.11	0.26	0.67	1.33
KLF4	3031	43	0.00	0.37	1.18	1.70	1.32
KCNK1	3033	39	0.00	0.05	0.24	0.88	0.64
0 (SPOT_3051)	3051	6	0.00	-0.33	-0.04	0.42	1.15
CXCL2	3055	38	0.00	1.13	1.79	1.46	2.06
KIAA0152	3077	9	0.00	-0.30	-0.58	-0.77	-0.99
0 (SPOT_3079)	3079	44	0.00	0.22	-0.14	-0.64	-0.97
0 (SPOT_3138)	3138	33	0.00	0.92	0.32	0.33	1.16
0 (SPOT_3150)	3150	39	0.00	0.01	0.17	0.93	0.40
MYO5B	3206;4965	43	0.00	0.56	0.96	0.93	0.55
0 (SPOT_3217)	3217	39	0.00	0.06	0.11	0.80	0.17
FLJ11565	3244	9	0.00	-0.20	-0.45	-0.86	-0.75
SNX5	3255	9	0.00	-0.09	-0.38	-0.72	-0.86
BST2	3285	10	0.00	-0.75	-0.92	-0.41	-0.18
UMPK	3286;6286	19	0.00	0.02	-0.49	-0.82	-0.58
C11ORF25	3344	42	0.00	0.32	0.81	0.09	0.37
LIPH	3362;8261;23393	41	0.00	0.03	0.44	0.96	1.55
NTE	3370	10	0.00	-0.33	-0.87	-0.54	0.01
GABARAPL1	3371	43	0.00	-0.12	1.19	1.03	0.23
0 (SPOT_3380)	3380	6	0.00	-0.03	0.17	0.39	1.51
0 (SPOT_3403)	3403	46	0.00	1.44	0.88	1.21	0.95
0 (SPOT_3405)	3405	38	0.00	2.11	1.67	1.74	1.25
0 (SPOT_3411)	3411	38	0.00	0.97	0.72	0.65	0.83
0 (SPOT_3413)	3413	23	0.00	-0.04	-0.44	0.44	0.88
0 (SPOT_3414)	3414	35	0.00	0.70	0.44	0.80	0.99
ASB13	3440	19	0.00	0.31	-0.54	-0.90	-0.34
DSG1	3452	36	0.00	0.93	0.55	-0.17	0.74
0 (SPOT_3453)	3453	38	0.00	0.67	0.91	0.64	0.77
NMES1	3468	48	0.00	0.55	0.67	0.59	0.93
0 (SPOT_3475)	3475	38	0.00	0.83	0.74	0.49	0.60
0 (SPOT_3478)	3478	46	0.00	0.89	0.53	0.54	0.37
0 (SPOT_3505)	3505	8	0.00	-0.28	-1.15	-1.08	-1.16
0 (SPOT_3515)	3515	19	0.00	-0.22	-0.72	-0.90	-0.70
0 (SPOT_3517)	3517	43	0.00	0.41	0.81	0.64	0.55
0 (SPOT_3521)	3521	42	0.00	0.32	0.96	0.43	0.36
0 (SPOT_3522)	3522	42	0.00	0.44	1.11	0.59	0.50
0 (SPOT_3532)	3532	14	0.00	-0.18	0.34	0.83	0.60
0 (SPOT_3538)	3538	42	0.00	0.37	0.88	0.26	0.78
MXI1	3562;4517;5878;10413;11925;17831	14	0.00	-0.40	-0.16	0.50	0.86
KIAA1157	3592;19083	0	0.00	-0.41	-0.64	-1.06	-0.70
0 (SPOT_3601)	3601	36	0.00	1.32	1.55	0.02	1.46
0 (SPOT_3605)	3605	11	0.00	-0.86	-3.85	4.14	0.06
0 (SPOT_3607)	3607	36	0.00	1.14	0.26	-1.76	0.75
0 (SPOT_3608)	3608	18	0.00	-0.38	2.01	1.41	1.61
0 (SPOT_3614)	3614	9	0.00	-0.53	-0.22	-0.99	-1.25
0 (SPOT_3619)	3619	49	0.00	3.96	2.15	5.19	-0.33
0 (SPOT_3659)	3659	48	0.00	0.80	0.95	0.53	0.97
C20ORF180	3661;17138	42	0.00	0.63	1.21	0.80	0.73
0 (SPOT_3665)	3665	48	0.00	0.69	0.80	0.21	0.75
0 (SPOT_3666)	3666	48	0.00	0.92	0.66	0.33	0.84
0 (SPOT_3685)	3685	38	0.00	0.94	0.79	0.72	0.75
0 (SPOT_3715)	3715	41	0.00	0.24	0.43	0.96	1.31
TMPRSS4	3734	28	0.00	-0.09	0.13	0.18	0.84
TMPRSS2	3759;14329;17325	6	0.00	-0.89	-0.10	0.50	1.00
0 (SPOT_3763)	3763	40	0.00	1.42	1.81	1.47	0.41
0 (SPOT_3765)	3765	1	0.00	-2.08	-2.21	-2.10	-2.38
0 (SPOT_3768)	3768	9	0.00	-0.83	-0.94	-0.86	-1.47
TNFAIP3	3786;7866	43	0.00	0.17	1.52	1.51	1.29
MCM3	3790	9	0.00	0.02	-0.36	-0.78	-0.92
KIAA0125	3793	43	0.00	0.48	0.83	0.57	0.41
TM9SF1	3833	6	0.00	-0.37	-0.14	0.39	1.14
PLAB	3836;17546	41	0.00	0.16	0.84	0.79	1.23
C20ORF129	3928	31	0.00	0.02	-0.80	-0.46	-0.89
KIAA1971	3968	43	0.00	0.29	0.66	0.88	0.69
0 (SPOT_3998)	3998	42	0.00	0.37	1.26	0.54	0.41
0 (SPOT_4006)	4006	47	0.00	0.96	0.57	0.13	0.43
0 (SPOT_4017)	4017	16	0.00	-0.23	0.87	0.18	0.28
0 (SPOT_4029)	4029	41	0.00	0.47	0.71	0.60	1.12
PTPRU	4035	0	0.00	-0.28	-0.62	-0.81	-0.53
RGS5	4047;6215	6	0.00	-0.99	-0.87	0.08	0.96
CEBPG	4058	39	0.00	0.40	0.43	0.83	0.68
SPHK2	4066	10	0.00	-0.33	-0.91	-0.54	-0.12
HMGN3	4080;6873	9	0.00	-0.07	-0.37	-0.50	-0.87
0 (SPOT_4081)	4081	38	0.00	0.81	0.73	0.51	0.70
0 (SPOT_4082)	4082	38	0.00	1.01	0.98	0.68	0.98
0 (SPOT_4083)	4083	42	0.00	0.56	0.89	0.38	0.44
0 (SPOT_4084)	4084	38	0.00	0.95	0.85	0.77	0.94
0 (SPOT_4086)	4086	43	0.00	0.66	0.99	0.89	0.61
DNLC2A	4088	43	0.00	0.38	1.69	1.08	0.60
0 (SPOT_4091)	4091	38	0.00	0.88	0.76	0.84	0.87
0 (SPOT_4159)	4159	38	0.00	0.85	0.56	0.56	0.73
0 (SPOT_4165)	4165	46	0.00	1.69	1.38	0.97	0.64
0 (SPOT_4167)	4167	38	0.00	1.20	1.53	1.13	0.98
0 (SPOT_4171)	4171	42	0.00	0.77	1.29	0.80	0.66
0 (SPOT_4172)	4172	44	0.00	0.28	-0.18	-0.89	-0.91
0 (SPOT_4198)	4198	46	0.00	1.09	0.50	0.35	0.34
SPEC1	4223;21591	13	0.00	-0.33	-0.31	-0.27	-0.87
TEM7R	4284	40	0.00	0.18	2.39	0.12	-0.56
0 (SPOT_4285)	4285	41	0.00	0.06	0.59	0.61	0.87
DKK1	4302	9	0.00	-0.55	-1.95	-2.43	-2.81
0 (SPOT_4304)	4304	40	0.00	0.53	1.03	0.56	0.28
0 (SPOT_4306)	4306	1	0.00	-1.16	-1.14	-0.88	-0.89
UTX	4315	39	0.00	0.09	0.33	1.14	0.39
KIAA1796	4354;6933;7624;8689;19112	42	0.00	0.42	1.04	0.59	0.60
NCF2	4357	42	0.00	0.44	0.94	0.30	0.70
TIEG	4361;6888	38	0.00	0.53	0.86	0.60	0.75
0 (SPOT_4364)	4364	42	0.00	0.95	1.77	0.81	1.25
CDH13	4368;6075	42	0.00	0.37	0.88	0.58	0.85
0 (SPOT_4374)	4374	15	0.00	-0.19	1.18	-0.62	-0.48
0 (SPOT_4379)	4379	43	0.00	-0.07	1.73	0.96	0.65
0 (SPOT_4380)	4380	40	0.00	3.65	4.58	3.63	1.93
LOC93109	4388	41	0.00	0.41	0.42	0.86	0.99
0 (SPOT_4392)	4392	42	0.00	0.48	0.95	0.57	0.61
0 (SPOT_4393)	4393	42	0.00	0.43	1.01	0.20	0.40
0 (SPOT_4406)	4406	28	0.00	-0.04	1.11	0.63	1.61
0 (SPOT_4416)	4416	42	0.00	0.56	1.27	0.43	0.70
0 (SPOT_4418)	4418	16	0.00	-2.81	1.88	0.27	-0.56
0 (SPOT_4420)	4420	42	0.00	-0.00	0.87	0.47	0.73
0 (SPOT_4437)	4437	43	0.00	0.28	1.11	0.80	0.88
0 (SPOT_4438)	4438	43	0.00	0.51	0.87	0.88	0.50
0 (SPOT_4448)	4448	40	0.00	0.57	1.41	0.60	0.48
0 (SPOT_4463)	4463	42	0.00	0.16	0.84	0.10	0.13
0 (SPOT_4472)	4472	27	0.00	-0.04	0.91	-0.66	-0.41
0 (SPOT_4481)	4481	38	0.00	0.93	1.17	0.72	0.74
MSMB	4484;6779	41	0.00	0.03	0.47	1.77	2.38
0 (SPOT_4487)	4487	40	0.00	0.35	0.93	0.19	0.18
0 (SPOT_4497)	4497	38	0.00	0.91	1.18	0.97	1.11
0 (SPOT_4498)	4498	42	0.00	0.66	1.09	0.45	0.58
0 (SPOT_4499)	4499	40	0.00	0.53	0.82	0.43	0.23
CCND1	4514;12171	19	0.00	0.31	-0.74	-1.12	-0.70
KLK4	4518;5232	38	0.00	1.15	1.59	0.91	1.20
0 (SPOT_4519)	4519	38	0.00	1.98	1.82	1.53	1.38
0 (SPOT_4522)	4522	46	0.00	1.48	0.94	0.47	0.89
0 (SPOT_4523)	4523	36	0.00	1.32	0.31	-0.36	0.72
IFIT1	4540;10841;19481	9	0.00	-0.24	-0.29	-0.44	-1.34
CRA	4554	14	0.00	-0.13	0.09	0.91	1.26
GRIA1	4569	48	0.00	0.55	0.64	0.41	1.12
LPIN1	4585	18	0.00	-0.05	0.85	0.98	1.02
FPR1	4606	41	0.00	0.42	0.33	0.90	1.22
FLNA	4608	43	0.00	0.01	0.87	1.26	0.82
H11	4619;6630	43	0.00	-0.15	1.46	1.19	0.78
0 (SPOT_4652)	4652	42	0.00	0.69	1.01	0.52	0.68
0 (SPOT_4657)	4657	38	0.00	1.09	0.97	0.88	0.77
0 (SPOT_4665)	4665	42	0.00	0.52	0.87	0.51	0.58
0 (SPOT_4666)	4666	42	0.00	0.45	1.12	0.45	0.67
0 (SPOT_4667)	4667	38	0.00	0.85	1.03	0.76	0.68
0 (SPOT_4668)	4668	38	0.00	1.04	1.24	0.68	0.74
FLJ20748	4682;10787;11262	40	0.00	0.23	1.15	0.69	0.24
FLJ13231	4712	42	0.00	0.50	0.88	0.51	0.54
0 (SPOT_4724)	4724	40	0.00	0.45	0.80	0.59	0.25
MGC45562	4832	48	0.00	0.53	0.69	0.47	0.91
0 (SPOT_4837)	4837	40	0.00	0.85	1.10	0.75	0.51
0 (SPOT_4855)	4855	42	0.00	0.44	1.10	0.72	0.73
JTB	4856	42	0.00	0.88	1.61	0.94	0.83
0 (SPOT_4910)	4910	42	0.00	0.47	0.92	0.41	0.54
0 (SPOT_4911)	4911	40	0.00	0.69	1.12	0.47	0.41
0 (SPOT_4922)	4922	42	0.00	0.59	1.25	0.49	0.87
DMRT2	4924	6	0.00	0.01	-0.02	0.22	0.81
0 (SPOT_4926)	4926	42	0.00	0.50	0.99	0.25	0.54
0 (SPOT_4929)	4929	38	0.00	0.62	0.96	0.83	0.82
0 (SPOT_4931)	4931	42	0.00	0.52	0.96	0.50	0.44
0 (SPOT_4932)	4932	42	0.00	0.57	0.95	0.41	0.82
GAGED2	4979	18	0.00	-1.41	0.81	0.42	0.42
0 (SPOT_4991)	4991	42	0.00	0.64	1.20	0.43	0.54
0 (SPOT_5000)	5000	27	0.00	0.12	0.57	-0.99	0.10
PHLDA1	5018;14173;21991	41	0.00	-0.14	0.71	1.03	1.46
0 (SPOT_5024)	5024	40	0.00	0.53	0.83	0.36	0.31
0 (SPOT_5029)	5029	42	0.00	0.42	1.42	0.67	0.48
0 (SPOT_5045)	5045	42	0.00	-0.02	0.98	-0.16	0.42
FLJ14503	5048	42	0.00	0.14	0.87	0.09	0.39
0 (SPOT_5049)	5049	47	0.00	0.62	0.90	0.30	0.41
ULBP2	5051	41	0.00	-0.14	0.62	1.05	1.30
ATP2B4	5053	41	0.00	0.10	0.53	0.78	0.82
ADM	5057	41	0.00	-0.09	0.34	0.51	0.91
0 (SPOT_5080)	5080	16	0.00	-0.06	1.04	0.11	0.17
0 (SPOT_5086)	5086	40	0.00	0.57	1.02	0.31	0.28
0 (SPOT_5087)	5087	43	0.00	0.33	2.40	2.08	1.51
ALS2CR8	5089	40	0.00	0.42	1.03	0.11	0.23
0 (SPOT_5098)	5098	15	0.00	-0.47	1.15	0.09	-0.36
ZNF288	5112	18	0.00	-0.92	0.75	0.40	0.46
0 (SPOT_5113)	5113	42	0.00	-0.08	1.47	0.28	0.58
0 (SPOT_5114)	5114	40	0.00	0.89	2.10	0.60	0.63
0 (SPOT_5115)	5115	42	0.00	0.74	2.73	0.06	1.02
0 (SPOT_5116)	5116	42	0.00	0.27	1.44	-0.22	0.75
0 (SPOT_5125)	5125	40	0.00	1.00	2.67	0.59	-0.34
0 (SPOT_5131)	5131	38	0.00	2.98	3.88	2.22	2.76
0 (SPOT_5135)	5135	47	0.00	5.11	4.34	1.87	1.70
0 (SPOT_5151)	5151	42	0.00	0.46	0.98	0.25	0.68
0 (SPOT_5153)	5153	42	0.00	0.41	0.98	0.57	0.89
0 (SPOT_5159)	5159	40	0.00	0.06	0.83	0.25	0.12
0 (SPOT_5161)	5161	42	0.00	0.44	0.80	0.45	0.38
0 (SPOT_5165)	5165	42	0.00	0.32	0.85	0.36	0.37
0 (SPOT_5173)	5173	42	0.00	0.32	0.91	0.05	0.56
0 (SPOT_5186)	5186	40	0.00	0.74	1.30	0.51	0.51
0 (SPOT_5188)	5188	42	0.00	0.53	1.06	0.22	0.59
0 (SPOT_5192)	5192	42	0.00	0.37	1.51	0.32	0.49
0 (SPOT_5193)	5193	13	0.00	-0.51	-0.01	-0.16	-0.86
0 (SPOT_5237)	5237	40	0.00	0.13	0.84	0.36	-0.32
0 (SPOT_5242)	5242	42	0.00	0.05	0.80	0.09	0.56
CDH17	5248;8643;21882	8	0.00	-0.64	-0.78	-0.80	-0.86
0 (SPOT_5250)	5250	43	0.00	0.08	0.96	0.72	0.41
0 (SPOT_5264)	5264	47	0.00	0.47	0.81	0.17	0.26
0 (SPOT_5268)	5268	42	0.00	0.29	0.90	0.13	0.33
EDN2	5269	43	0.00	0.31	0.98	0.74	0.35
0 (SPOT_5278)	5278	15	0.00	-0.33	1.21	-0.03	-0.99
0 (SPOT_5280)	5280	9	0.00	-0.87	-0.39	-1.18	-1.86
SOS1	5313	43	0.00	0.08	0.96	0.53	0.27
VCL	5333	29	0.00	-0.00	0.46	0.94	0.41
VCAM1	5334;7562	42	0.00	0.68	1.00	0.45	0.69
NDRG1	5349	14	0.00	-0.24	0.49	2.16	2.55
0 (SPOT_5409)	5409	4	0.00	-1.04	-0.01	0.11	-1.06
0 (SPOT_5503)	5503	42	0.00	0.73	1.31	0.53	0.59
0 (SPOT_5505)	5505	24	0.00	-0.26	0.01	-0.86	-0.67
ERO1L	5511;19225	41	0.00	-0.10	0.38	0.74	0.93
0 (SPOT_5545)	5545	39	0.00	0.16	0.34	1.01	0.70
MATN2	5554	43	0.00	-0.05	0.80	0.84	0.68
ATF4	5571	43	0.00	0.07	0.70	0.89	0.47
KIAA0455	5598	42	0.00	0.62	0.86	0.40	0.72
0 (SPOT_5600)	5600	19	0.00	-0.18	-0.72	-1.07	-0.65
0 (SPOT_5603)	5603	42	0.00	0.95	1.72	0.62	1.16
0 (SPOT_5659)	5659	8	0.00	-0.44	-0.83	-0.62	-0.43
0 (SPOT_5671)	5671	42	0.00	0.68	0.94	0.50	0.57
LOC92129	5672	42	0.00	0.63	0.98	0.48	0.74
KIAA0918	5681	42	0.00	0.53	0.97	0.41	0.89
0 (SPOT_5683)	5683	38	0.00	1.16	0.92	0.90	1.34
0 (SPOT_5703)	5703	27	0.00	0.21	0.88	-0.04	0.17
PPFIA3	5721	33	0.00	0.55	0.17	0.20	0.86
0 (SPOT_5743)	5743	42	0.00	0.37	0.89	0.34	0.70
0 (SPOT_5748)	5748	42	0.00	0.32	1.04	0.17	0.35
0 (SPOT_5757)	5757	42	0.00	0.35	0.85	0.16	0.29
0 (SPOT_5759)	5759	9	0.00	-0.23	-0.53	-0.61	-1.06
PANK	5768	8	0.00	-0.38	-0.97	-0.82	-0.88
0 (SPOT_5781)	5781	38	0.00	0.57	0.93	0.64	0.67
STAM2	5813	9	0.00	-0.48	-1.71	-2.07	-2.55
DMN	5825	42	0.00	0.64	1.41	0.76	0.96
PCAF	5842;13626	12	0.00	-1.23	-0.15	-0.57	-0.15
DKFZP434K0427	5849	18	0.00	-0.42	0.35	0.81	0.53
AKT3	5857	42	0.00	1.03	1.77	1.00	1.09
KIAA1789	5861	42	0.00	0.30	0.81	0.41	0.38
0 (SPOT_5871)	5871	47	0.00	0.62	1.16	-0.19	0.19
TFF1	5873	6	0.00	-0.38	0.01	0.23	1.05
TIMP4	5874	42	0.00	0.03	0.86	0.19	0.62
0 (SPOT_5885)	5885	43	0.00	1.23	2.91	2.36	1.44
0 (SPOT_5923)	5923	42	0.00	1.09	1.82	0.92	1.11
0 (SPOT_5931)	5931	18	0.00	-0.20	0.50	0.82	0.64
0 (SPOT_6033)	6033	47	0.00	1.94	2.09	0.86	0.90
0 (SPOT_6036)	6036	27	0.00	0.55	1.20	-0.38	-0.41
VEGF	6050	41	0.00	0.32	1.09	1.24	1.91
TM4SF3	6056	1	0.00	-0.60	-0.70	-0.67	-0.84
ARHB	6058;6685;12675;14573	41	0.00	0.06	0.63	1.14	1.10
GABRP	6077	38	0.00	0.92	0.49	0.78	0.76
0 (SPOT_6148)	6148	2	0.00	-0.91	-0.35	-1.48	-1.44
0 (SPOT_6167)	6167	33	0.00	0.53	-0.31	0.38	1.16
LOC201164	6241	19	0.00	0.30	-0.45	-0.80	-0.33
KIAA1949	6257	43	0.00	0.03	0.95	1.18	1.07
FZD7	6281	44	0.00	0.26	-0.10	-0.67	-1.17
GARS	6331	39	0.00	0.45	0.42	1.07	0.87
WEE1	6353	43	0.00	0.09	1.00	1.41	0.62
0 (SPOT_6358)	6358	42	0.00	0.37	1.04	0.59	0.72
0 (SPOT_6364)	6364	46	0.00	0.82	0.65	0.32	0.40
KIAA0964	6386	41	0.00	0.11	0.16	0.33	0.89
FLJ20315	6415	8	0.00	0.02	-0.94	-0.49	-0.26
0 (SPOT_6421)	6421	46	0.00	0.91	0.77	0.58	0.56
0 (SPOT_6473)	6473	48	0.00	0.64	0.98	0.06	0.99
0 (SPOT_6475)	6475	47	0.00	0.69	0.85	0.18	0.59
CXCL10	6577	40	0.00	0.27	1.00	0.44	-0.23
H4FG	6580	37	0.00	0.39	0.47	0.01	-0.80
ACTN1	6597;19397	15	0.00	0.06	1.03	-0.05	0.02
0 (SPOT_6623)	6623	0	0.00	-0.60	-0.45	-0.81	-0.23
0 (SPOT_6652)	6652	21	0.00	-0.28	-0.28	-3.95	-0.02
0 (SPOT_6656)	6656	43	0.00	0.30	0.62	0.87	0.42
0 (SPOT_6659)	6659	40	0.00	0.88	1.96	0.58	0.29
0 (SPOT_6660)	6660	48	0.00	0.54	0.77	0.54	0.85
0 (SPOT_6674)	6674	8	0.00	-0.28	-0.88	-0.62	-0.52
0 (SPOT_6703)	6703	42	0.00	0.46	0.83	0.44	0.60
0 (SPOT_6716)	6716	33	0.00	0.37	0.34	0.14	1.27
TGFBR1	6720	20	0.00	-0.28	-0.86	-0.10	-0.18
0 (SPOT_6723)	6723	14	0.00	-0.02	-0.13	0.74	1.13
SPRY1	6747;15651	8	0.00	-0.18	-0.87	-0.71	-0.24
0 (SPOT_6749)	6749	18	0.00	-0.27	1.28	0.94	0.70
0 (SPOT_6750)	6750	28	0.00	-0.14	0.35	0.28	0.84
0 (SPOT_6759)	6759	20	0.00	0.26	-1.18	0.25	0.20
0 (SPOT_6784)	6784	40	0.00	0.08	1.72	0.76	-0.14
0 (SPOT_6789)	6789	42	0.00	0.46	2.01	0.58	1.40
HBP1	6837;16400	42	0.00	-0.42	1.30	-0.12	0.96
CFLAR	6839;20620	43	0.00	0.13	0.81	0.87	0.58
LCK	6882;8528	41	0.00	0.05	0.27	0.50	1.03
SLC12A5	6885	43	0.00	0.27	0.88	0.79	0.78
DKFZP761H1710	6921	30	0.00	0.93	-0.18	-0.47	0.82
0 (SPOT_6928)	6928	42	0.00	0.52	0.84	0.43	0.78
0 (SPOT_6940)	6940	42	0.00	0.45	0.82	0.16	0.57
0 (SPOT_6941)	6941	42	0.00	0.33	0.98	0.26	0.52
0 (SPOT_6956)	6956	47	0.00	0.61	0.95	0.23	0.44
EIF2B3	6968	42	0.00	0.40	1.08	0.38	0.40
ARHGEF2	6985	18	0.00	-0.13	0.76	0.71	0.86
0 (SPOT_6989)	6989	42	0.00	0.58	0.87	0.33	0.62
0 (SPOT_6997)	6997	41	0.00	-0.03	0.11	0.45	1.02
ETL	7032	42	0.00	0.47	0.96	0.47	0.55
CHK	7089	19	0.00	0.04	-0.55	-0.81	-0.49
CDR2	7091	43	0.00	-0.04	0.95	1.48	0.87
0 (SPOT_7094)	7094	38	0.00	0.71	0.95	0.74	0.77
0 (SPOT_7109)	7109	47	0.00	0.72	1.03	0.35	0.48
OXTR	7110	42	0.00	0.48	0.89	0.41	0.54
0 (SPOT_7118)	7118	42	0.00	0.62	0.90	0.34	0.53
FLJ30834	7122	47	0.00	0.63	1.12	0.01	0.21
TEM7	7127	48	0.00	0.79	0.68	0.46	0.90
0 (SPOT_7128)	7128	40	0.00	0.61	1.17	0.29	0.08
APOBEC3G	7144	41	0.00	0.35	0.72	1.22	1.15
0 (SPOT_7180)	7180	39	0.00	0.71	0.14	1.82	0.85
0 (SPOT_7182)	7182	43	0.00	0.33	0.61	0.85	0.37
0 (SPOT_7185)	7185	16	0.00	-0.18	1.72	0.60	0.38
0 (SPOT_7189)	7189	34	0.00	0.82	0.36	0.77	0.00
0 (SPOT_7191)	7191	47	0.00	1.38	1.61	0.43	1.23
0 (SPOT_7192)	7192	42	0.00	0.42	0.99	0.17	0.83
MGC3020	7201	42	0.00	0.28	0.89	0.36	0.85
0 (SPOT_7207)	7207	43	0.00	0.01	0.83	0.68	0.33
EIF5A2	7210	38	0.00	0.58	0.83	0.91	0.71
0 (SPOT_7215)	7215	42	0.00	0.64	1.05	0.31	0.46
0 (SPOT_7228)	7228	48	0.00	0.91	1.03	0.52	2.20
0 (SPOT_7239)	7239	42	0.00	0.59	0.83	0.43	0.61
DAAM2	7273	42	0.00	0.45	0.91	0.24	0.41
CDC42EP2	7276;14547	43	0.00	0.03	1.64	1.06	1.17
0 (SPOT_7278)	7278	40	0.00	0.65	1.14	0.60	0.45
0 (SPOT_7289)	7289	42	0.00	0.41	0.85	0.13	0.33
GDA	7290;18631;23745	8	0.00	-0.46	-0.80	-0.74	-0.87
0 (SPOT_7294)	7294	42	0.00	0.52	1.18	0.80	0.84
0 (SPOT_7299)	7299	47	0.00	1.97	2.02	1.02	0.93
IL23A	7302	41	0.00	0.44	1.39	2.41	2.27
0 (SPOT_7325)	7325	28	0.00	0.00	0.83	-0.17	0.88
0 (SPOT_7326)	7326	38	0.00	1.22	1.82	1.44	1.40
SMC2L1	7327	38	0.00	1.53	1.45	1.45	0.96
DKFZP434N0820	7334	42	0.00	0.56	1.26	0.71	0.55
GJA4	7354	38	0.00	1.39	1.87	1.33	1.51
0 (SPOT_7357)	7357	42	0.00	0.47	1.06	0.28	0.71
0 (SPOT_7358)	7358	42	0.00	0.38	1.21	0.21	1.00
0 (SPOT_7360)	7360	15	0.00	-0.35	1.00	-0.30	0.10
RTP801	7380;17130	41	0.00	0.78	2.55	3.22	3.71
CTGF	7387;12174	44	0.00	0.83	-0.42	-1.96	-2.07
0 (SPOT_7408)	7408	42	0.00	0.12	0.93	-0.20	0.63
0 (SPOT_7410)	7410	43	0.00	0.45	0.75	0.83	0.40
LOC113179	7416;11944	21	0.00	-0.25	-0.15	-0.97	-0.06
0 (SPOT_7418)	7418	42	0.00	0.34	1.16	0.72	0.74
0 (SPOT_7435)	7435	42	0.00	0.21	1.10	0.13	0.26
COPE	7442	48	0.00	0.65	0.85	0.41	0.93
0 (SPOT_7445)	7445	42	0.00	0.13	1.05	0.24	0.51
0 (SPOT_7446)	7446	47	0.00	0.51	0.98	0.17	0.28
0 (SPOT_7453)	7453	43	0.00	-0.00	1.02	0.91	0.83
0 (SPOT_7472)	7472	9	0.00	-0.20	-0.47	-0.84	-0.77
0 (SPOT_7477)	7477	41	0.00	0.01	0.55	1.73	2.36
0 (SPOT_7491)	7491	2	0.00	-0.54	-0.09	-0.65	-0.97
0 (SPOT_7497)	7497	42	0.00	0.33	0.99	0.45	0.38
0 (SPOT_7499)	7499	16	0.00	-0.05	1.24	0.43	0.34
0 (SPOT_7504)	7504	42	0.00	0.39	0.93	0.28	0.54
B7-H1	7512	42	0.00	0.40	1.06	0.56	0.56
0 (SPOT_7514)	7514	47	0.00	0.80	0.85	0.36	0.50
0 (SPOT_7515)	7515	15	0.00	-0.92	0.08	-0.66	-0.89
0 (SPOT_7527)	7527	42	0.00	0.44	0.90	0.22	0.28
