SYMBOL,avg_log2FC,AveExpr,t,Pvalue,adj.P.Val,B
KIAA0922,-0.09799989,3.274881814,-1.31384777,0.223727035,0.485251671,-5.668610245
ZZEF1,-0.047866067,3.362962099,-1.313614483,0.223802104,0.485344649,-5.668887534
RANBP17,0.212899599,1.676393445,1.313218814,0.223929475,0.485507511,-5.66935776
ACD,0.073810959,3.268576071,1.313118459,0.22396179,0.485507511,-5.66947701
SYTL1,-0.072056876,3.548732934,-1.31299487,0.224001593,0.485507511,-5.669623861
KDM5B,0.084465982,3.473413269,1.312931896,0.224021876,0.485507511,-5.669698685
LOC101927365,-0.277707145,2.569079789,-1.312881014,0.224038266,0.485507511,-5.66975914
TSN,0.084522337,3.264159407,1.312757943,0.224077913,0.48552362,-5.669905358
PPP1CA,0.073596471,3.627550415,1.312492677,0.224163388,0.485572573,-5.670220485
PTPN11,0.186684456,2.204039332,1.312443913,0.224179104,0.485572573,-5.670278411
CYTH2,0.236114758,2.555022531,1.312387902,0.224197156,0.485572573,-5.670344942
CCDC125,-0.203568907,2.412842409,-1.312272383,0.224234393,0.485583443,-5.670482155
ESPL1,-0.181105116,3.202765511,-1.312047062,0.224307037,0.485670977,-5.670749767
ERP44,-0.066643034,2.6868814,-1.311900182,0.224354403,0.485676312,-5.670924199
LSM3,-0.03422058,3.580326728,-1.311839579,0.224373949,0.485676312,-5.670996167
NR3C2,-0.336909167,2.689644697,-1.311597489,0.224452042,0.485732409,-5.671283633
LOC100630923,0.086860658,1.999738606,1.311559434,0.22446432,0.485732409,-5.671328816
ZNF546,-0.042937517,1.965444296,-1.311381393,0.22452177,0.485786982,-5.671540203
TAF1C,0.058678101,3.048533169,1.311198034,0.224580949,0.485845279,-5.671757882
MAN1A2,-0.038091216,2.049570461,-1.311031931,0.22463457,0.485891537,-5.67195506
IKZF5,-0.064107406,3.071149435,-1.310871347,0.224686419,0.485933952,-5.67214567
L3MBTL3,0.152414736,2.487805872,1.310698791,0.224742146,0.485984313,-5.672350474
