OTUID	A1	A2	A3	B1	B2	B3	C1	C2	C3
OTU0388	0	0	2	0	0	0	0	0	0
OTU0397	0	0	1	1	0	0	0	0	0
OTU0418	0	0	2	1	0	0	0	0	0
OTU0420	0	2	0	1	0	0	0	0	0
OTU0601	0	0	0	1	2	0	0	0	0
OTU0636	0	3	0	0	0	0	0	0	0
OTU0637	0	3	0	0	0	0	0	0	0
OTU0680	0	1	0	0	0	0	0	0	0
OTU0689	0	1	1	1	0	0	0	0	0
OTU0690	0	2	1	0	0	0	0	0	0
OTU0717	0	0	1	0	1	0	0	0	0
OTU0728	0	1	0	0	2	0	0	0	0
OTU0733	0	2	0	1	0	0	0	0	0
OTU0734	0	2	0	1	0	0	0	0	0
OTU0737	0	3	0	0	0	0	0	0	0
OTU0784	0	0	1	0	0	1	0	0	0
OTU0811	0	1	0	0	0	1	0	0	0
OTU0813	0	0	0	0	2	0	0	0	0
OTU0834	0	2	0	0	1	0	0	0	0
OTU0846	0	1	1	1	0	0	0	0	0
OTU0868	0	3	0	0	0	0	0	0	0
OTU1122	0	0	0	3	0	0	0	0	0
OTU1160	0	0	0	2	0	0	0	0	0
OTU1190	0	0	0	1	0	0	0	0	0
OTU1196	1	0	0	0	1	0	0	0	0
OTU1197	0	0	0	2	0	0	0	0	0
OTU1199	0	0	2	0	0	0	0	0	0
OTU1204	0	0	1	0	0	0	0	0	0
OTU1216	0	0	0	2	0	1	0	0	0
OTU1218	0	0	2	0	0	1	0	0	0
OTU1225	0	0	2	0	1	0	0	0	0
OTU1244	0	0	3	0	0	0	0	0	0
OTU1439	0	0	0	0	0	1	0	0	0
OTU1442	0	0	0	1	0	0	0	0	0
OTU1443	0	0	1	0	0	0	0	0	0
OTU1444	0	0	1	0	0	0	0	0	0
OTU1454	0	0	0	0	0	0	0	0	0
OTU1458	0	0	0	0	1	0	0	0	0
OTU1459	0	0	0	1	0	0	0	0	0
OTU1460	0	0	1	0	0	0	0	0	0
OTU1462	0	0	0	1	0	0	0	0	0
OTU1463	0	0	1	0	0	0	0	0	0
OTU1468	0	0	0	0	0	2	0	0	0
OTU1469	0	0	0	0	1	1	0	0	0
OTU1472	0	0	1	0	0	1	0	0	0
OTU1473	0	0	1	0	0	1	0	0	0
OTU1481	0	0	1	0	1	0	0	0	0
OTU1482	0	0	1	0	1	0	0	0	0
OTU1483	0	1	0	0	1	0	0	0	0
OTU1489	0	0	2	0	0	0	0	0	0
OTU1494	0	2	0	0	0	0	0	0	0
OTU1644	0	0	0	0	0	0	0	0	0
OTU1645	0	0	0	0	0	0	0	0	0
OTU1652	0	0	0	0	1	0	0	0	0
OTU1653	0	0	0	0	1	0	0	0	0
OTU1656	0	0	1	0	0	0	0	0	0
OTU1657	0	0	1	0	0	0	0	0	0
OTU1660	0	1	0	0	0	0	0	0	0
OTU1675	0	0	0	0	1	0	0	0	0
OTU1678	0	0	1	0	0	1	0	0	0
OTU1684	0	0	1	0	1	0	0	0	0
OTU1685	0	0	1	0	1	0	0	0	0
OTU1686	0	0	1	0	1	0	0	0	0
OTU1688	0	1	0	0	1	0	0	0	0
OTU1689	0	1	0	0	1	0	0	0	0
OTU1701	1	0	1	0	0	0	0	0	0
OTU1710	0	2	0	0	0	0	0	0	0
OTU1711	0	2	0	0	0	0	0	0	0
OTU1902	0	0	0	0	0	0	0	0	0
OTU2000	0	0	0	1	1	1	0	0	0
OTU2006	0	0	1	1	0	1	0	0	0
OTU2010	0	0	2	0	0	1	0	0	0
OTU2011	0	0	2	0	0	1	0	0	0
OTU2013	2	0	0	0	0	1	0	0	0
OTU2133	0	0	0	0	3	0	0	0	0
OTU2143	0	0	1	1	1	0	0	0	0
OTU2144	0	0	1	1	1	0	0	0	0
OTU2149	0	1	1	0	1	0	0	0	0
OTU2155	0	2	0	0	1	0	0	0	0
OTU2156	0	2	0	0	1	0	0	0	0
OTU2286	0	0	0	3	0	0	0	0	0
OTU2287	0	0	0	3	0	0	0	0	0
OTU2288	0	0	0	3	0	0	0	0	0
OTU2289	0	0	0	3	0	0	0	0	0
OTU2291	0	1	0	2	0	0	0	0	0
OTU2301	0	0	2	1	0	0	0	0	0
OTU2302	1	0	1	1	0	0	0	0	0
OTU2315	2	0	0	1	0	0	0	0	0
OTU2484	0	0	3	0	0	0	0	0	0
OTU2485	0	0	3	0	0	0	0	0	0
OTU2486	0	0	3	0	0	0	0	0	0
OTU2487	0	0	3	0	0	0	0	0	0
OTU2488	0	0	3	0	0	0	0	0	0
OTU2489	0	0	3	0	0	0	0	0	0
OTU2490	0	0	3	0	0	0	0	0	0
OTU2491	0	0	3	0	0	0	0	0	0
OTU2492	0	1	2	0	0	0	0	0	0
OTU2493	1	0	2	0	0	0	0	0	0
OTU2516	2	0	1	0	0	0	0	0	0
OTU2718	0	3	0	0	0	0	0	0	0
OTU2719	0	3	0	0	0	0	0	0	0
OTU2720	0	3	0	0	0	0	0	0	0
OTU2721	0	3	0	0	0	0	0	0	0
OTU2722	0	3	0	0	0	0	0	0	0
OTU0119	0	0	0	0	0	0	0	0	0
OTU0184	0	0	1	0	0	1	0	0	0
OTU0199	0	1	0	0	1	0	0	0	0
OTU0207	0	0	0	0	1	0	0	0	0
OTU0217	0	0	0	0	1	1	0	0	0
OTU0229	0	0	0	0	1	0	0	0	0
OTU0241	0	0	0	0	0	1	0	0	0
OTU0251	0	0	1	0	0	1	0	0	0
OTU0258	1	0	1	0	0	0	0	0	0
OTU0259	0	2	0	0	0	0	0	0	0
OTU0275	0	2	0	0	0	0	0	0	0
OTU0288	0	1	1	0	0	0	0	0	0
OTU0293	0	2	0	0	0	0	0	0	0
OTU0300	0	0	0	2	0	0	0	0	0
OTU0315	0	1	1	0	0	0	0	0	0
OTU0326	0	0	0	2	0	0	0	0	0
OTU0342	1	0	1	0	0	0	0	0	0
OTU0355	0	0	0	0	0	0	0	0	0
OTU0360	0	0	0	0	0	1	0	0	0
OTU0361	0	0	0	0	1	0	0	0	0
OTU0362	0	0	0	0	1	0	0	0	0
OTU0363	0	0	0	1	0	0	0	0	0
OTU0364	0	0	1	0	0	0	0	0	0
OTU0365	0	0	1	0	0	0	0	0	0
OTU0384	0	0	0	0	1	0	0	0	0
OTU0385	0	0	0	0	1	0	0	0	0
OTU0387	0	0	0	1	0	0	0	0	0
OTU0389	0	0	1	0	0	0	0	0	0
OTU0390	0	1	0	0	0	0	0	0	0
OTU0391	0	1	0	0	0	0	0	0	0
OTU0392	1	0	0	0	0	0	0	0	0
OTU0395	0	0	0	0	0	0	0	0	0
OTU0396	0	0	0	0	0	0	0	0	0
OTU0398	0	0	0	1	0	0	0	0	0
OTU0401	0	0	0	0	0	2	0	0	0
OTU0403	0	0	0	0	1	1	0	0	0
OTU0404	0	0	1	0	0	1	0	0	0
OTU0411	0	0	0	1	1	0	0	0	0
OTU0412	0	0	0	1	1	0	0	0	0
OTU0413	0	0	1	0	1	0	0	0	0
OTU0414	1	0	0	0	1	0	0	0	0
OTU0419	0	0	1	1	0	0	0	0	0
OTU0421	1	0	0	1	0	0	0	0	0
OTU0427	0	0	2	0	0	0	0	0	0
OTU0428	0	0	2	0	0	0	0	0	0
OTU0429	0	1	1	0	0	0	0	0	0
OTU0430	1	0	1	0	0	0	0	0	0
OTU0437	1	1	0	0	0	0	0	0	0
OTU0438	1	1	0	0	0	0	0	0	0
OTU0443	2	0	0	0	0	0	0	0	0
OTU0621	0	1	0	0	1	0	0	0	0
OTU0623	0	2	0	0	0	0	0	0	0
OTU0632	0	1	0	1	0	0	0	0	0
OTU0635	0	1	1	0	0	0	0	0	0
OTU0647	0	0	0	0	1	0	0	0	0
OTU0651	0	2	0	0	0	0	0	0	0
OTU0662	0	0	0	0	2	0	0	0	0
OTU0663	1	0	0	1	0	0	0	0	0
OTU0667	0	1	0	0	0	0	0	0	0
OTU0681	0	0	0	1	0	0	0	0	0
OTU0683	0	0	1	0	0	0	0	0	0
OTU0687	0	1	0	0	0	0	0	0	0
OTU0693	0	2	0	0	0	0	0	0	0
OTU0707	0	1	0	0	0	0	0	0	0
OTU0708	1	0	0	0	0	1	0	0	0
OTU0714	0	0	0	0	0	0	0	0	0
OTU0722	0	1	0	0	0	0	0	0	0
OTU0729	0	0	0	0	2	0	0	0	0
OTU0730	0	0	1	0	1	0	0	0	0
OTU0735	0	1	1	0	0	0	0	0	0
OTU0738	0	2	0	0	0	0	0	0	0
OTU0739	0	2	0	0	0	0	0	0	0
OTU0786	0	0	1	1	0	0	0	0	0
OTU0787	1	0	1	0	0	0	0	0	0
OTU0794	0	0	0	0	0	0	0	0	0
OTU0795	0	1	0	0	0	0	0	0	0
OTU0807	0	0	0	0	0	0	0	0	0
OTU0808	0	0	0	0	0	0	0	0	0
OTU0809	0	0	0	0	0	0	0	0	0
OTU0810	0	0	0	0	0	0	0	0	0
OTU0812	0	0	0	0	0	1	0	0	0
OTU0815	0	0	1	0	0	0	0	0	0
OTU0816	0	1	0	0	0	0	0	0	0
OTU0817	0	1	0	0	0	0	0	0	0
OTU0818	0	1	0	0	0	0	0	0	0
OTU0819	0	1	0	0	0	0	0	0	0
OTU0825	0	1	0	0	0	0	0	0	0
OTU0827	0	0	0	0	0	2	0	0	0
OTU0829	0	0	1	0	0	1	0	0	0
OTU0830	0	0	0	0	2	0	0	0	0
OTU0835	0	1	0	0	1	0	0	0	0
OTU0836	1	0	0	0	1	0	0	0	0
OTU0847	0	0	1	1	0	0	0	0	0
OTU0848	0	1	0	1	0	0	0	0	0
OTU0857	0	0	2	0	0	0	0	0	0
OTU0858	0	0	2	0	0	0	0	0	0
OTU0859	0	1	1	0	0	0	0	0	0
OTU0869	0	2	0	0	0	0	0	0	0
OTU0870	0	2	0	0	0	0	0	0	0
OTU0871	0	2	0	0	0	0	0	0	0
OTU0872	0	2	0	0	0	0	0	0	0
OTU0873	0	2	0	0	0	0	0	0	0
OTU0874	0	2	0	0	0	0	0	0	0
OTU0875	0	2	0	0	0	0	0	0	0
OTU0876	0	2	0	0	0	0	0	0	0
OTU0877	0	2	0	0	0	0	0	0	0
OTU0878	0	2	0	0	0	0	0	0	0
OTU1106	0	0	0	2	0	0	0	0	0
OTU1108	1	0	0	0	0	0	0	0	0
OTU1118	0	0	0	2	0	0	0	0	0
OTU1123	0	0	0	2	0	0	0	0	0
OTU1140	1	0	0	0	0	0	0	0	0
OTU1145	0	0	0	2	0	0	0	0	0
OTU1146	0	0	0	2	0	0	0	0	0
OTU1161	0	0	0	1	0	0	0	0	0
OTU1162	1	0	0	0	0	1	0	0	0
OTU1167	0	0	0	2	0	0	0	0	0
OTU1194	0	0	0	0	0	0	0	0	0
OTU1200	0	0	1	0	0	0	0	0	0
OTU1201	1	0	0	0	0	0	0	0	0
OTU1202	1	0	0	0	0	0	0	0	0
OTU1205	0	0	0	0	0	0	0	0	0
OTU1207	0	0	0	0	1	0	0	0	0
OTU1209	0	0	1	0	0	0	0	0	0
OTU1217	0	0	0	1	0	1	0	0	0
OTU1219	0	0	1	0	0	1	0	0	0
OTU1226	0	1	0	0	1	0	0	0	0
OTU1227	1	0	0	0	1	0	0	0	0
OTU1231	0	0	0	2	0	0	0	0	0
OTU1232	0	0	0	2	0	0	0	0	0
OTU1234	0	0	1	1	0	0	0	0	0
OTU1245	0	0	2	0	0	0	0	0	0
OTU1246	0	0	2	0	0	0	0	0	0
OTU1247	0	0	2	0	0	0	0	0	0
OTU1248	0	0	2	0	0	0	0	0	0
OTU1251	0	2	0	0	0	0	0	0	0
OTU1446	0	0	0	0	0	0	0	0	0
OTU1447	0	0	0	0	0	0	0	0	0
OTU1448	0	0	0	0	0	0	0	0	0
OTU1449	0	0	0	0	0	0	0	0	0
OTU1450	0	0	0	0	0	0	0	0	0
OTU1451	0	0	0	0	0	0	0	0	0
OTU1461	0	0	0	0	0	0	0	0	0
OTU1464	0	0	0	0	0	0	0	0	0
OTU1474	0	0	0	0	0	1	0	0	0
OTU1475	0	0	0	0	0	1	0	0	0
OTU1476	0	0	0	0	0	1	0	0	0
OTU1477	0	0	0	0	0	1	0	0	0
OTU1478	0	0	0	0	0	1	0	0	0
OTU1479	0	0	0	0	0	1	0	0	0
OTU1480	0	0	0	0	0	1	0	0	0
OTU1484	0	0	0	0	1	0	0	0	0
OTU1486	0	0	0	1	0	0	0	0	0
OTU1487	0	0	0	1	0	0	0	0	0
OTU1488	0	0	0	1	0	0	0	0	0
OTU1490	0	0	1	0	0	0	0	0	0
OTU1491	0	0	1	0	0	0	0	0	0
OTU1492	0	0	1	0	0	0	0	0	0
OTU1493	0	0	1	0	0	0	0	0	0
OTU1495	1	0	0	0	0	0	0	0	0
OTU1661	0	0	0	0	0	0	0	0	0
OTU1662	0	0	0	0	0	0	0	0	0
OTU1663	0	0	0	0	0	0	0	0	0
OTU1664	0	0	0	0	0	0	0	0	0
OTU1665	0	0	0	0	0	0	0	0	0
OTU1666	0	0	0	0	0	0	0	0	0
OTU1667	0	0	0	0	0	0	0	0	0
OTU1668	0	0	0	0	0	0	0	0	0
OTU1669	0	0	0	0	0	0	0	0	0
OTU1670	0	0	0	0	0	0	0	0	0
OTU1671	0	0	0	0	0	0	0	0	0
OTU1672	0	0	0	0	0	0	0	0	0
OTU1673	0	0	0	0	0	0	0	0	0
OTU1674	0	0	0	0	0	0	0	0	0
OTU1679	0	0	0	0	0	1	0	0	0
OTU1680	0	0	0	0	0	1	0	0	0
OTU1681	0	0	0	0	0	1	0	0	0
OTU1690	0	0	0	0	1	0	0	0	0
OTU1691	0	0	0	0	1	0	0	0	0
OTU1692	0	0	0	0	1	0	0	0	0
OTU1693	0	0	0	0	1	0	0	0	0
OTU1696	0	0	0	1	0	0	0	0	0
OTU1697	0	0	0	1	0	0	0	0	0
OTU1698	0	0	0	1	0	0	0	0	0
OTU1699	0	0	0	1	0	0	0	0	0
OTU1702	0	0	1	0	0	0	0	0	0
OTU1703	0	0	1	0	0	0	0	0	0
OTU1704	0	0	1	0	0	0	0	0	0
OTU1705	0	0	1	0	0	0	0	0	0
OTU1706	0	0	1	0	0	0	0	0	0
OTU1707	0	0	1	0	0	0	0	0	0
OTU1708	0	0	1	0	0	0	0	0	0
OTU1712	0	1	0	0	0	0	0	0	0
OTU1713	0	1	0	0	0	0	0	0	0
OTU1714	0	1	0	0	0	0	0	0	0
OTU1715	0	1	0	0	0	0	0	0	0
OTU1716	0	1	0	0	0	0	0	0	0
OTU1717	0	1	0	0	0	0	0	0	0
OTU1718	0	1	0	0	0	0	0	0	0
OTU1719	0	1	0	0	0	0	0	0	0
OTU1720	0	1	0	0	0	0	0	0	0
OTU1721	0	1	0	0	0	0	0	0	0
OTU1722	1	0	0	0	0	0	0	0	0
OTU1723	1	0	0	0	0	0	0	0	0
OTU1904	0	0	0	0	0	0	0	0	0
OTU1905	0	0	0	0	0	0	0	0	0
OTU1908	0	0	1	0	0	0	0	0	0
OTU1909	0	1	0	0	0	0	0	0	0
OTU1910	1	0	0	0	0	0	0	0	0
OTU1911	1	0	0	0	0	0	0	0	0
OTU1996	0	0	0	0	0	2	0	0	0
OTU1997	0	0	0	0	0	2	0	0	0
OTU1998	0	0	0	0	0	2	0	0	0
OTU2002	0	0	0	0	1	1	0	0	0
OTU2003	0	0	0	0	1	1	0	0	0
OTU2004	0	0	0	0	1	1	0	0	0
OTU2007	0	0	0	1	0	1	0	0	0
OTU2012	0	1	0	0	0	1	0	0	0
OTU2014	1	0	0	0	0	1	0	0	0
OTU2134	0	0	0	0	2	0	0	0	0
OTU2135	0	0	0	0	2	0	0	0	0
OTU2136	0	0	0	0	2	0	0	0	0
OTU2137	0	0	0	0	2	0	0	0	0
OTU2138	0	0	0	0	2	0	0	0	0
OTU2139	0	0	0	0	2	0	0	0	0
OTU2140	0	0	0	0	2	0	0	0	0
OTU2141	0	0	0	0	2	0	0	0	0
OTU2145	0	0	0	1	1	0	0	0	0
OTU2146	0	0	0	1	1	0	0	0	0
OTU2147	0	0	0	1	1	0	0	0	0
OTU2150	0	0	1	0	1	0	0	0	0
OTU2151	0	0	1	0	1	0	0	0	0
OTU2152	0	0	1	0	1	0	0	0	0
OTU2153	0	0	1	0	1	0	0	0	0
OTU2154	0	0	1	0	1	0	0	0	0
OTU2157	0	1	0	0	1	0	0	0	0
OTU2158	0	1	0	0	1	0	0	0	0
OTU2159	0	1	0	0	1	0	0	0	0
OTU2160	0	1	0	0	1	0	0	0	0
OTU2161	0	1	0	0	1	0	0	0	0
OTU2162	0	1	0	0	1	0	0	0	0
OTU2292	0	0	0	2	0	0	0	0	0
OTU2293	0	0	0	2	0	0	0	0	0
OTU2294	0	0	0	2	0	0	0	0	0
OTU2295	0	0	0	2	0	0	0	0	0
OTU2296	0	0	0	2	0	0	0	0	0
OTU2297	0	0	0	2	0	0	0	0	0
OTU2298	0	0	0	2	0	0	0	0	0
OTU2303	0	0	1	1	0	0	0	0	0
OTU2304	0	0	1	1	0	0	0	0	0
OTU2305	0	0	1	1	0	0	0	0	0
OTU2306	0	0	1	1	0	0	0	0	0
OTU2307	0	0	1	1	0	0	0	0	0
OTU2308	0	0	1	1	0	0	0	0	0
OTU2309	0	0	1	1	0	0	0	0	0
OTU2310	0	1	0	1	0	0	0	0	0
OTU2311	0	1	0	1	0	0	0	0	0
OTU2312	0	1	0	1	0	0	0	0	0
OTU2313	0	1	0	1	0	0	0	0	0
OTU2314	0	1	0	1	0	0	0	0	0
OTU2316	1	0	0	1	0	0	0	0	0
OTU2317	1	0	0	1	0	0	0	0	0
OTU2318	1	0	0	1	0	0	0	0	0
OTU2319	1	0	0	1	0	0	0	0	0
OTU2494	0	0	2	0	0	0	0	0	0
OTU2495	0	0	2	0	0	0	0	0	0
OTU2496	0	0	2	0	0	0	0	0	0
OTU2497	0	0	2	0	0	0	0	0	0
OTU2498	0	0	2	0	0	0	0	0	0
OTU2499	0	0	2	0	0	0	0	0	0
OTU2500	0	0	2	0	0	0	0	0	0
OTU2501	0	0	2	0	0	0	0	0	0
OTU2502	0	0	2	0	0	0	0	0	0
OTU2503	0	0	2	0	0	0	0	0	0
OTU2504	0	0	2	0	0	0	0	0	0
OTU2505	0	0	2	0	0	0	0	0	0
OTU2507	0	1	1	0	0	0	0	0	0
OTU2508	0	1	1	0	0	0	0	0	0
OTU2509	0	1	1	0	0	0	0	0	0
OTU2510	0	1	1	0	0	0	0	0	0
OTU2511	0	1	1	0	0	0	0	0	0
OTU2512	0	1	1	0	0	0	0	0	0
OTU2513	0	1	1	0	0	0	0	0	0
OTU2514	0	1	1	0	0	0	0	0	0
OTU2515	0	1	1	0	0	0	0	0	0
OTU2517	1	0	1	0	0	0	0	0	0
OTU2518	1	0	1	0	0	0	0	0	0
OTU2519	1	0	1	0	0	0	0	0	0
OTU2520	1	0	1	0	0	0	0	0	0
OTU2521	1	0	1	0	0	0	0	0	0
OTU2522	1	0	1	0	0	0	0	0	0
OTU2723	1	2	0	0	0	0	0	0	0
OTU2724	1	2	0	0	0	0	0	0	0
OTU2725	1	2	0	0	0	0	0	0	0
OTU2726	1	2	0	0	0	0	0	0	0
OTU2727	1	2	0	0	0	0	0	0	0
OTU2728	1	2	0	0	0	0	0	0	0
OTU2729	1	2	0	0	0	0	0	0	0
OTU2730	1	2	0	0	0	0	0	0	0
OTU2731	1	2	0	0	0	0	0	0	0
OTU2732	1	2	0	0	0	0	0	0	0
OTU2733	1	2	0	0	0	0	0	0	0
OTU2734	1	2	0	0	0	0	0	0	0
OTU2735	1	2	0	0	0	0	0	0	0
OTU2736	1	2	0	0	0	0	0	0	0
OTU2737	1	2	0	0	0	0	0	0	0
OTU2738	1	1	0	0	0	0	0	0	0
OTU2892	1	0	0	0	0	0	0	0	0
OTU2893	1	0	0	0	0	0	0	0	0
OTU2894	1	0	0	0	0	0	0	0	0
OTU0159	1	0	0	0	0	0	0	0	0
OTU0164	1	1	0	0	0	0	0	0	0
OTU0185	1	0	0	0	0	1	0	0	0
OTU0186	1	0	0	1	0	0	0	0	0
OTU0187	1	0	1	0	0	0	0	0	0
OTU0188	1	0	0	0	0	0	0	0	0
OTU0208	1	0	1	0	0	0	0	0	0
OTU0216	1	0	0	0	0	0	0	0	0
OTU0231	1	1	0	0	0	0	0	0	0
OTU0247	1	0	0	0	0	0	0	0	0
OTU0252	1	0	0	0	0	1	0	0	0
OTU0253	1	0	0	0	0	1	0	0	0
OTU0254	1	0	0	0	0	1	0	0	0
OTU0255	1	0	0	0	0	1	0	0	0
OTU0257	1	0	0	1	0	0	0	0	0
OTU0260	1	1	0	0	0	0	0	0	0
OTU0298	1	0	0	1	0	0	0	0	0
OTU0299	1	0	0	1	0	0	0	0	0
OTU0309	1	0	0	0	0	0	0	0	0
OTU0310	1	0	0	0	0	0	0	0	0
OTU0316	1	0	1	0	0	0	0	0	0
OTU0343	1	0	1	0	0	0	0	0	0
OTU0344	1	1	0	0	0	0	0	0	0
OTU0367	1	0	0	0	0	0	0	0	0
OTU0368	1	0	0	0	0	0	0	0	0
OTU0369	1	0	0	0	0	0	0	0	0
OTU0370	1	0	0	0	0	0	0	0	0
OTU0393	1	0	0	0	0	0	0	0	0
OTU0394	1	0	0	0	0	0	0	0	0
OTU0399	1	0	0	0	0	0	0	0	0
OTU0405	1	0	0	0	0	1	0	0	0
OTU0406	1	0	0	0	0	1	0	0	0
OTU0407	1	0	0	0	0	1	0	0	0
OTU0408	1	0	0	0	0	1	0	0	0
OTU0409	1	0	0	0	0	1	0	0	0
OTU0415	1	0	0	0	1	0	0	0	0
OTU0416	1	0	0	0	1	0	0	0	0
OTU0422	1	0	0	1	0	0	0	0	0
OTU0423	1	0	0	1	0	0	0	0	0
OTU0424	1	0	0	1	0	0	0	0	0
OTU0425	1	0	0	1	0	0	0	0	0
OTU0431	1	0	1	0	0	0	0	0	0
OTU0432	1	0	1	0	0	0	0	0	0
OTU0433	1	0	1	0	0	0	0	0	0
OTU0434	1	0	1	0	0	0	0	0	0
OTU0435	1	0	1	0	0	0	0	0	0
OTU0436	1	0	1	0	0	0	0	0	0
OTU0439	1	1	0	0	0	0	0	0	0
OTU0440	1	1	0	0	0	0	0	0	0
OTU0441	1	1	0	0	0	0	0	0	0
OTU0442	1	1	0	0	0	0	0	0	0
OTU0444	1	0	0	0	0	0	0	0	0
OTU0610	1	1	0	0	0	0	0	0	0
OTU0612	1	0	0	0	0	0	0	0	0
OTU0616	1	0	0	1	0	0	0	0	0
OTU0648	1	0	0	0	0	0	0	0	0
OTU0650	1	0	1	0	0	0	0	0	0
OTU0652	1	1	0	0	0	0	0	0	0
OTU0670	1	1	0	0	0	0	0	0	0
OTU0675	1	0	0	0	1	0	0	0	0
OTU0684	1	0	0	0	0	0	0	0	0
OTU0685	1	0	0	0	0	0	0	0	0
OTU0723	1	0	0	0	0	0	0	0	0
OTU0724	1	0	0	0	0	0	0	0	0
OTU0732	1	0	0	0	1	0	0	0	0
OTU0736	1	0	1	0	0	0	0	0	0
OTU0740	1	1	0	0	0	0	0	0	0
OTU0741	1	1	0	0	0	0	0	0	0
OTU0742	1	1	0	0	0	0	0	0	0
OTU0743	1	1	0	0	0	0	0	0	0
OTU0744	1	1	0	0	0	0	0	0	0
OTU0745	1	0	0	0	0	0	0	0	0
OTU0746	1	0	0	0	0	0	0	0	0
OTU0769	1	0	0	1	0	0	0	0	0
OTU0773	1	0	0	1	0	0	0	0	0
OTU0777	1	0	0	1	0	0	0	0	0
OTU0781	1	0	0	0	0	1	0	0	0
OTU0782	1	0	0	0	1	0	0	0	0
OTU0788	1	1	0	0	0	0	0	0	0
OTU0796	1	0	0	0	0	0	0	0	0
OTU0797	1	0	0	0	0	0	0	0	0
OTU0798	1	0	0	0	0	0	0	0	0
OTU0820	1	0	0	0	0	0	0	0	0
OTU0821	1	0	0	0	0	0	0	0	0
OTU0822	1	0	0	0	0	0	0	0	0
OTU0823	1	0	0	0	0	0	0	0	0
OTU0826	1	0	0	0	0	0	0	0	0
OTU0837	1	0	0	0	1	0	0	0	0
OTU0838	1	0	0	0	1	0	0	0	0
OTU0839	1	0	0	0	1	0	0	0	0
OTU0840	1	0	0	0	1	0	0	0	0
OTU0841	1	0	0	0	1	0	0	0	0
OTU0842	1	0	0	0	1	0	0	0	0
OTU0843	1	0	0	0	1	0	0	0	0
OTU0844	1	0	0	0	1	0	0	0	0
OTU0849	1	0	0	1	0	0	0	0	0
OTU0850	1	0	0	1	0	0	0	0	0
OTU0851	1	0	0	1	0	0	0	0	0
OTU0852	1	0	0	1	0	0	0	0	0
OTU0853	1	0	0	1	0	0	0	0	0
OTU0854	1	0	0	1	0	0	0	0	0
OTU0860	1	0	1	0	0	0	0	0	0
OTU0861	1	0	1	0	0	0	0	0	0
OTU0862	1	0	1	0	0	0	0	0	0
OTU0863	1	0	1	0	0	0	0	0	0
OTU0864	1	0	1	0	0	0	0	0	0
OTU0865	1	0	1	0	0	0	0	0	0
OTU0879	1	1	0	0	0	0	0	0	0
OTU0880	1	1	0	0	0	0	0	0	0
OTU0881	1	1	0	0	0	0	0	0	0
OTU0882	1	1	0	0	0	0	0	0	0
OTU0883	1	1	0	0	0	0	0	0	0
OTU0884	1	1	0	0	0	0	0	0	0
OTU0885	1	1	0	0	0	0	0	0	0
OTU0886	1	1	0	0	0	0	0	0	0
OTU0887	1	1	0	0	0	0	0	0	0
OTU0888	1	1	0	0	0	0	0	0	0
OTU0889	1	1	0	0	0	0	0	0	0
OTU0890	1	1	0	0	0	0	0	0	0
OTU0891	1	1	0	0	0	0	0	0	0
OTU0892	1	1	0	0	0	0	0	0	0
OTU0893	1	1	0	0	0	0	0	0	0
OTU0894	1	1	0	0	0	0	0	0	0
OTU0895	1	1	0	0	0	0	0	0	0
OTU0896	1	0	0	0	0	0	0	0	0
OTU1109	1	0	0	0	0	1	0	0	0
OTU1112	1	0	0	1	0	0	0	0	0
OTU1115	1	0	0	1	0	0	0	0	0
OTU1121	1	0	0	0	0	0	0	0	0
OTU1129	1	0	0	0	0	0	0	0	0
OTU1132	1	0	0	1	0	0	0	0	0
OTU1133	1	0	0	1	0	0	0	0	0
OTU1134	1	0	0	1	0	0	0	0	0
OTU1135	1	0	1	0	0	0	0	0	0
OTU1141	1	0	0	0	0	0	0	0	0
OTU1143	1	0	0	0	0	0	0	0	0
OTU1147	1	0	0	1	0	0	0	0	0
OTU1168	1	0	0	1	0	0	0	0	0
OTU1169	1	0	0	1	0	0	0	0	0
OTU1170	1	0	0	0	0	0	0	0	0
OTU1211	1	0	0	0	0	0	0	0	0
OTU1213	1	0	0	0	0	0	0	0	0
OTU1214	1	0	0	0	0	0	0	0	0
OTU1220	1	0	0	0	0	1	0	0	0
OTU1221	1	0	0	0	0	1	0	0	0
OTU1222	1	0	0	0	0	1	0	0	0
OTU1228	1	0	0	0	1	0	0	0	0
OTU1229	1	0	0	0	1	0	0	0	0
OTU1235	1	0	0	1	0	0	0	0	0
OTU1236	1	0	0	1	0	0	0	0	0
OTU1237	1	0	0	1	0	0	0	0	0
OTU1238	1	0	0	1	0	0	0	0	0
OTU1239	1	0	0	1	0	0	0	0	0
OTU1240	1	0	0	1	0	0	0	0	0
OTU1241	1	0	0	1	0	0	0	0	0
OTU1242	1	0	0	1	0	0	0	0	0
OTU1243	1	0	0	1	0	0	0	0	0
OTU1250	1	0	1	0	0	0	0	0	0
OTU1252	1	1	0	0	0	0	0	0	0
OTU1253	1	0	0	0	0	0	0	0	0
OTU1254	1	0	0	0	0	0	0	0	0
OTU2015	1	0	0	0	0	1	0	0	0
OTU2016	1	0	0	0	0	1	0	0	0
OTU2017	1	0	0	0	0	1	0	0	0
OTU2018	1	0	0	0	0	1	0	0	0
OTU2019	1	0	0	0	0	1	0	0	0
OTU2020	1	0	0	0	0	1	0	0	0
OTU2021	1	0	0	0	0	1	0	0	0
