OTUID	A1	A2	A3	B1	B2	B3	C1	C2	C3
OTU0592	1	29	15	3	1	0	0	0	0
OTU0267	0	34	0	1	17	0	0	0	0
OTU0280	0	9	9	0	37	0	0	0	0
OTU0111	3	35	12	1	5	0	0	0	0
OTU0088	0	19	6	2	21	0	0	0	0
OTU0067	4	0	0	23	0	0	0	0	0
OTU0097	2	13	5	1	2	13	0	0	0
OTU0105	3	0	17	9	11	0	0	0	0
OTU0198	5	3	4	10	18	1	0	0	0
OTU0116	4	28	4	5	7	0	0	0	0
OTU0426	0	1	48	0	0	0	0	0	0
OTU0086	16	3	5	5	4	7	0	0	0
OTU0132	0	13	4	0	10	1	0	0	0
OTU0604	0	18	1	0	16	0	0	0	0
OTU0660	0	11	6	0	0	8	0	0	0
OTU1104	0	0	0	45	0	0	0	0	0
OTU0090	5	1	12	8	9	0	0	0	0
OTU0641	0	36	1	2	2	0	0	0	0
OTU0113	5	7	8	10	3	1	0	0	0
OTU0704	0	0	0	43	0	0	0	0	0
OTU0062	2	13	8	4	6	1	0	0	0
OTU0089	1	4	11	5	6	3	0	0	0
OTU0117	0	9	4	1	24	2	0	0	0
OTU0099	10	1	11	11	3	2	0	0	0
OTU0154	0	7	6	1	12	2	0	0	0
OTU0266	0	17	15	3	3	0	0	0	0
OTU0206	0	5	7	0	7	0	0	0	0
OTU0677	0	21	0	0	3	0	0	0	0
OTU0772	0	0	0	40	0	0	0	0	0
OTU0093	1	0	15	13	1	6	0	0	0
OTU0107	6	0	8	8	2	5	0	0	0
OTU0593	0	1	36	1	0	0	0	0	0
OTU0112	1	4	7	0	16	6	0	0	0
OTU0213	0	5	4	0	2	2	0	0	0
OTU0591	0	17	3	0	6	0	0	0	0
OTU1620	0	0	0	0	0	0	0	0	0
OTU0605	0	21	11	1	0	0	0	0	0
OTU0279	0	3	8	0	19	0	0	0	0
OTU0622	0	25	0	0	3	0	0	0	0
OTU0640	0	16	0	0	9	0	0	0	0
OTU0628	0	15	4	1	5	0	0	0	0
OTU0705	7	0	1	5	9	5	0	0	0
OTU0169	1	0	8	0	2	11	0	0	0
OTU0106	0	3	4	0	0	14	0	0	0
OTU0135	4	0	5	1	3	3	0	0	0
OTU0205	2	0	12	1	4	0	0	0	0
OTU0224	0	5	3	1	0	3	0	0	0
OTU0333	0	2	6	1	1	3	0	0	0
OTU0711	0	10	3	1	9	0	0	0	0
OTU0162	0	19	0	0	1	1	0	0	0
OTU1624	0	8	1	1	10	0	0	0	0
OTU0092	7	0	5	3	2	4	0	0	0
OTU0173	7	0	2	9	0	4	0	0	0
OTU1637	0	2	9	1	14	0	0	0	0
OTU0071	0	0	0	13	0	2	0	0	0
OTU0600	0	18	1	0	6	0	0	0	0
OTU0114	0	0	6	0	2	5	0	0	0
OTU0219	5	0	0	0	0	21	0	0	0
OTU0678	0	10	2	0	2	0	0	0	0
OTU0140	1	8	4	0	6	1	0	0	0
OTU0189	0	2	0	5	2	1	0	0	0
OTU0196	0	3	2	0	14	1	0	0	0
OTU0226	0	0	2	4	7	0	0	0	0
OTU0594	0	14	0	1	6	0	0	0	0
OTU0771	0	0	0	26	0	0	0	0	0
OTU0302	4	0	7	1	7	2	0	0	0
OTU0624	0	15	0	0	0	0	0	0	0
OTU0668	0	17	0	1	7	0	0	0	0
OTU0776	0	0	11	14	0	0	0	0	0
OTU0153	1	1	9	3	1	2	0	0	0
OTU0270	0	9	2	7	2	0	0	0	0
OTU0139	0	9	2	0	0	2	0	0	0
OTU0149	3	1	5	6	1	4	0	0	0
OTU0230	8	0	1	3	1	2	0	0	0
OTU0306	0	0	0	0	0	0	0	0	0
OTU0307	9	0	3	1	0	6	0	0	0
OTU0356	0	2	1	0	0	0	0	0	0
OTU0372	0	1	9	1	2	5	0	0	0
OTU0598	0	12	0	0	8	0	0	0	0
OTU0665	0	9	0	0	10	0	0	0	0
OTU0774	4	0	5	5	0	0	0	0	0
OTU0070	0	1	2	2	3	3	0	0	0
OTU0123	1	1	8	4	0	3	0	0	0
OTU0124	2	0	5	2	2	5	0	0	0
OTU0131	9	1	1	0	0	9	0	0	0
OTU0271	0	5	1	0	8	0	0	0	0
OTU0799	0	9	2	0	3	0	0	0	0
OTU1105	0	0	0	21	0	0	0	0	0
OTU2470	0	0	22	0	0	0	0	0	0
OTU0371	0	1	0	0	0	0	0	0	0
OTU1138	3	1	2	8	1	1	0	0	0
OTU2471	0	0	21	0	0	0	0	0	0
OTU0103	1	6	6	0	5	2	0	0	0
OTU0126	3	1	7	3	0	3	0	0	0
OTU0163	0	7	4	0	2	0	0	0	0
OTU0214	1	2	3	0	3	5	0	0	0
OTU0646	0	13	0	0	0	0	0	0	0
OTU1191	0	0	5	2	0	0	0	0	0
OTU1629	0	1	3	1	11	0	0	0	0
OTU0165	1	4	7	1	0	0	0	0	0
OTU0276	0	5	2	0	8	0	0	0	0
OTU0402	1	15	0	1	1	1	0	0	0
OTU0709	0	12	1	0	0	0	0	0	0
OTU0775	0	0	0	19	0	0	0	0	0
OTU0098	0	0	9	1	6	2	0	0	0
OTU0180	1	4	2	2	1	0	0	0	0
OTU0204	0	5	1	1	6	1	0	0	0
OTU0357	11	0	2	2	0	0	0	0	0
OTU0608	0	14	0	2	1	0	0	0	0
OTU0710	0	1	0	0	2	0	0	0	0
OTU1621	0	0	0	0	0	0	0	0	0
OTU1622	0	0	0	0	0	0	0	0	0
OTU0156	0	0	8	0	3	3	0	0	0
OTU0221	3	0	5	2	0	4	0	0	0
OTU0381	0	7	6	2	1	0	0	0	0
OTU0664	0	6	0	0	5	0	0	0	0
OTU0790	0	0	6	2	0	3	0	0	0
OTU1114	0	0	0	17	0	0	0	0	0
